,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.0030537559650838375,0.7304900181488203,0.5971810089020771,0.657142857142857,0.9767057110714049,35.5546,16.932,0.281,1.0,411,,,,,,,
1,,,,,,,,,1.22,500,0.0055,1.800498753117207e-05,,,,,
2,0.0027849336620420218,0.7706953642384106,0.6906528189910979,0.7284820031298904,0.9797498511018463,36.2933,16.587,0.276,2.0,822,,,,,,,
3,,,,,,,,,2.43,1000,0.0022,1.551122194513716e-05,,,,,
4,0.002866969909518957,0.7542814594192108,0.7514836795252225,0.7528799702712746,0.9798160280590299,35.7531,16.838,0.28,3.0,1233,,,,,,,
5,,,,,,,,,3.65,1500,0.0013,1.3017456359102245e-05,,,,,
6,0.0032169909682124853,0.7483917083631165,0.776706231454006,0.7622861303239898,0.980742505459599,35.4162,16.998,0.282,4.0,1644,,,,,,,
7,,,,,,,,,4.87,2000,0.0006,1.0523690773067332e-05,,,,,
8,0.0036140724550932646,0.7492753623188406,0.7670623145400594,0.7580645161290321,0.980477797630865,37.0201,16.261,0.27,5.0,2055,,,,,,,
9,0.004055097699165344,0.7626488095238095,0.7603857566765578,0.7615156017830609,0.9808086824167824,36.137,16.659,0.277,6.0,2466,,,,,,,
10,,,,,,,,,6.08,2500,0.0004,8.02992518703242e-06,,,,,
11,0.004387617111206055,0.7918272937548189,0.7618694362017804,0.7765595463137996,0.9818675137317187,37.1711,16.195,0.269,7.0,2877,,,,,,,
12,,,,,,,,,7.3,3000,0.0002,5.536159600997507e-06,,,,,
13,0.004561916925013065,0.7784386617100372,0.776706231454006,0.7775714816190124,0.981404275031434,37.4551,16.073,0.267,8.0,3288,,,,,,,
14,,,,,,,,,8.52,3500,0.0002,3.0423940149625936e-06,,,,,
15,0.004669545218348503,0.7739065974796145,0.7744807121661721,0.7741935483870968,0.9812057441598835,37.6764,15.978,0.265,9.0,3699,,,,,,,
16,,,,,,,,,9.73,4000,0.0001,5.486284289276808e-07,,,,,
17,0.004740774165838957,0.7814126394052044,0.7796735905044511,0.7805421463052358,0.981404275031434,37.1434,16.207,0.269,10.0,4110,,,,,,,
18,,,,,,,,,10.0,4110,,,15804.9687,4.156,0.26,8581295610101760.0,0.0012727824771672559
